,Transcript,Translation_Status,MiSeqSFPQc.csv,MiSeqNONOc.csv,HuRc_conversionc
88,uc003qup.1,Untranslated,21,28,0
89,uc002ikn.1,Translated,1,0,0
90,uc011bbc.1,Untranslated,1,0,0
91,uc003wza.3,Translated,1,0,0
92,uc003ezp.3,Translated,1,0,0
93,uc003ihi.2,Untranslated,1,0,0
94,uc003kol.3,Translated,1,0,1
95,uc001hvy.1,Translated,1,0,0
96,uc010mlt.3,Translated,3,4,0
97,uc001hgm.3,Translated,1,0,0
98,uc010rog.2,Untranslated,154,128,0
99,uc010mdp.2,Untranslated,1,3,0
100,uc001odz.3,Untranslated,5,0,0
101,uc001hgi.3,Translated,1,0,0
102,uc003nda.2,Translated,1,0,0
103,uc001mty.3,Translated,2,0,1
104,uc002aeb.3,Translated,1,0,0
105,uc009vqk.3,Translated,2,0,1
106,uc002hnm.3,Translated,1,0,0
107,uc002nvf.3,Translated,3,7,0
108,uc003zxh.2,Untranslated,1,0,0
109,uc001aje.2,Translated,1,1,0
110,uc003jbf.3,Translated,1,0,0
111,uc002iss.3,Translated,1,1,0
112,uc011bmf.2,Translated,1,0,0
113,uc004cov.5,Untranslated,1,3,0
114,uc021vew.1,Untranslated,1,0,0
115,uc010wmw.2,Translated,1,1,0
116,uc004cer.3,Translated,1,0,0
117,uc002sia.3,Translated,1,0,0
118,uc011log.1,Translated,1,0,0
119,uc003csf.3,Translated,1,0,0
120,uc002fng.1,Translated,4,1,0
121,uc031rcw.1,Translated,1,0,0
122,uc002xuj.3,Untranslated,1,2,0
123,uc022bah.1,Untranslated,1,0,1
124,uc002fne.4,Translated,4,1,0
125,uc031rco.1,Translated,1,0,0
126,uc002fnc.2,Translated,4,1,0
127,uc004cob.1,Translated,1,0,0
128,uc011kug.2,Translated,1,1,0
129,uc031rcm.1,Translated,1,0,0
130,uc021ygh.2,Translated,2,1,0
131,uc001ebk.3,Translated,2,1,0
132,uc001zeu.3,Untranslated,1,1,0
133,uc003fiy.2,Translated,2,3,0
134,uc003yyt.3,Translated,1,1,0
135,uc003wwu.3,Translated,3,1,0
136,uc011loc.1,Translated,1,0,0
137,uc002shx.3,Translated,1,0,0
138,uc003ztr.2,Translated,1,0,0
139,uc003yyr.3,Translated,1,1,0
140,uc011kui.2,Translated,1,1,0
141,uc003ufs.2,Untranslated,1,1,0
142,uc031rcs.1,Translated,1,0,0
143,uc021qmb.1,Translated,2,2,0
144,uc003wfc.2,Translated,1,1,0
145,uc021pwo.1,Untranslated,1,0,0
146,uc002kkf.1,Translated,1,0,0
147,uc031rcq.1,Translated,1,0,0
148,uc002fmx.2,Translated,4,1,0
149,uc010jie.1,Translated,2,1,0
150,uc003ezm.3,Translated,1,0,0
151,uc004euc.3,Translated,1,0,0
152,uc002shz.3,Translated,1,0,0
153,uc001set.3,Untranslated,1,0,0
154,uc004eua.3,Translated,1,0,0
155,uc010wyr.1,Translated,1,0,0
156,uc010ymp.2,Translated,1,0,0
157,uc031rck.1,Translated,1,0,0
158,uc001bgp.4,Translated,2,0,1
159,uc002hdx.4,Translated,1,1,0
160,uc031rci.1,Translated,1,0,0
161,uc003fiw.4,Translated,2,3,1
162,uc001ebi.3,Translated,2,1,0
163,uc004etz.4,Translated,1,0,0
164,uc001bgr.4,Translated,2,0,1
165,uc003csg.3,Translated,1,0,0
166,uc010bfs.3,Translated,1,0,0
167,uc003yyv.3,Translated,1,1,0
168,uc003qee.4,Translated,2,0,0
169,uc009vyw.1,Untranslated,1,0,0
170,uc001vxa.1,Untranslated,1,0,0
171,uc001pyx.2,Translated,1,0,0
172,uc002nat.3,Translated,1,1,0
173,uc010osv.1,Translated,4,1,3
174,uc011ecs.2,Translated,2,0,0
175,uc011bmh.2,Translated,1,0,0
176,uc001xlt.2,Translated,2,1,0
177,uc011byq.2,Translated,1,0,0
178,uc003qec.4,Translated,2,0,0
179,uc011ecq.2,Translated,2,0,0
180,uc010lzb.3,Translated,2,1,1
181,uc001aif.3,Translated,2,2,0
182,uc001onx.3,Translated,1,0,0
183,uc004eue.3,Translated,1,0,0
184,uc011mpt.1,Untranslated,2,0,0
185,uc003crq.2,Translated,1,0,0
186,uc010jbr.1,Translated,1,0,1
187,uc001suu.4,Translated,1,0,0
188,uc010nlq.1,Untranslated,2,2,0
189,uc001iyu.4,Translated,1,0,0
190,uc021shu.1,Untranslated,2,1,0
191,uc003dhz.3,Translated,1,0,0
192,uc021xrw.1,Translated,1,0,0
193,uc001chs.3,Translated,1,0,0
194,uc010lam.1,Translated,1,1,0
195,uc010snu.2,Translated,1,0,0
196,uc003pek.3,Translated,1,0,4
197,uc002ttj.3,Untranslated,1,2,5
198,uc003ezi.3,Translated,1,0,0
199,uc002sbk.3,Translated,2,1,0
200,uc002fgp.3,Translated,1,0,0
201,uc031rcu.1,Translated,1,0,0
202,uc002xvu.1,Translated,1,2,0
203,uc003yks.2,Translated,1,0,0
204,uc001oiw.2,Translated,1,2,0
205,uc011cmn.2,Translated,3,5,0
206,uc003oli.3,Translated,1,1,0
207,uc003jkl.4,Translated,2,0,0
208,uc003gut.4,Translated,1,0,0
209,uc003tlw.3,Translated,1,0,0
210,uc021qdx.1,Translated,2,1,0
211,uc011cmv.2,Translated,2,0,1
212,uc001cse.1,Translated,1,0,0
213,uc010odx.2,Translated,2,0,1
214,uc010xrw.2,Translated,3,7,0
215,uc002dja.3,Untranslated,2,1,0
216,uc002bul.3,Translated,1,2,0
217,uc001onv.3,Translated,1,0,0
218,uc003ezj.3,Translated,1,0,0
219,uc031tci.1,Untranslated,1,2,0
220,uc003xek.3,Translated,3,0,0
221,uc003dhx.3,Untranslated,1,0,0
222,uc003jgh.5,Translated,3,0,0
223,uc003xre.4,Translated,1,0,0
224,uc003wyy.3,Translated,1,0,0
225,uc001qzj.4,Translated,2,1,0
226,uc003jat.1,Translated,1,0,0
227,uc010pvy.1,Translated,2,0,0
228,uc001hfq.4,Translated,2,2,0
229,uc003jfg.3,Untranslated,2,2,0
230,uc021xqp.2,Translated,1,0,0
231,uc001qzb.4,Untranslated,2,1,0
232,uc002fcl.3,Translated,1,0,0
233,uc010mnd.3,Translated,1,2,0
234,uc003jet.2,Translated,2,0,1
235,uc003xeu.3,Translated,3,0,0
236,uc003sle.1,Translated,1,0,0
237,uc022bqt.1,Untranslated,1,4,0
238,uc009vql.3,Translated,2,0,1
239,uc003jhg.2,Translated,1,0,0
240,uc001hgp.3,Translated,1,0,0
241,uc010ksj.3,Translated,1,0,0
242,uc003zzq.3,Translated,3,4,0
243,uc001iyx.4,Translated,1,0,0
244,uc004cos.5,Untranslated,1,8,0
245,uc002iko.4,Translated,1,0,0
