,Transcript,Translation_Status,IonXpress_NONO_c,IonXpress_SFPQt1
66,uc002apv.3,Translated,1,4
67,uc001oyp.3,Translated,3,1
68,uc021ujy.1,Translated,4,4
69,uc011cyw.2,Translated,1,1
70,uc002gkh.4,Translated,1,0
71,uc010acn.3,Translated,1,1
72,uc009yok.1,Untranslated,1,2
73,uc010nak.3,Untranslated,1,1
74,uc003fqw.3,Translated,1,2
75,uc010cpd.3,Untranslated,2,2
76,uc010yyy.2,Untranslated,1,1
77,uc003ldg.3,Untranslated,1,1
78,uc004cov.5,Untranslated,1,3
79,uc021olh.1,Translated,1,0
80,uc009wbt.2,Untranslated,4,2
81,uc002vrw.1,Untranslated,1,0
82,uc003kyq.2,Translated,1,0
83,uc002gqf.1,Untranslated,2,1
84,uc003ple.2,Untranslated,1,1
85,uc009wwk.1,Untranslated,2,2
86,uc002tzu.3,Translated,1,0
87,uc022bgu.1,Translated,1,0
88,uc002apx.3,Translated,1,4
89,uc002hja.3,Translated,1,1
90,uc001pdz.3,Untranslated,2,3
91,uc001joo.3,Translated,1,1
92,uc011bpz.2,Translated,1,0
93,uc021ohf.2,Untranslated,1,0
94,uc010pvy.1,Translated,1,0
95,uc001byq.3,Untranslated,1,0
96,uc021szx.1,Untranslated,1,1
97,uc021ots.1,Translated,1,1
98,uc021ujt.1,Translated,4,4
99,uc003kfi.1,Translated,1,0
100,uc001nvr.3,Untranslated,2,6
101,uc002gkg.4,Translated,1,0
102,uc010wth.2,Translated,1,1
103,uc010ena.1,Untranslated,1,1
104,uc002pnz.4,Translated,1,3
105,uc001byp.3,Untranslated,1,0
106,uc003qed.4,Translated,3,0
107,uc021yjw.1,Untranslated,1,0
108,uc031tds.1,Translated,1,0
109,uc001odz.3,Untranslated,11,1
110,uc021viy.1,Untranslated,1,0
111,uc002vru.3,Translated,1,1
112,uc002gqa.4,Untranslated,2,2
113,uc002xun.4,Untranslated,3,3
114,uc001cml.3,Untranslated,1,1
115,uc001rtl.3,Translated,2,0
116,uc021ujx.1,Translated,4,4
117,uc003fix.4,Translated,1,0
118,uc004ebq.1,Untranslated,1,0
119,uc010oyh.1,Untranslated,1,1
120,uc002xum.4,Untranslated,3,3
121,uc010vwj.2,Untranslated,2,2
122,uc022bqt.1,Untranslated,2,4
123,uc031pob.1,Translated,1,1
124,uc003fiy.2,Translated,1,0
125,uc010aco.1,Translated,1,1
126,uc003ldu.3,Translated,1,1
127,uc021ttu.1,Translated,1,2
128,uc010vgi.1,Translated,2,0
129,uc003zzq.3,Translated,1,0
130,uc021tqw.1,Untranslated,2,2
131,uc003dfd.3,Translated,1,1
132,uc011ecr.2,Translated,3,0
133,uc004coq.4,Untranslated,1,0
134,uc009xhq.3,Translated,10,0
135,uc021zic.1,Translated,5,0
136,uc003dfe.3,Translated,1,1
137,uc004cos.5,Untranslated,11,7
138,uc002ldm.2,Translated,3,3
139,uc010vwm.1,Untranslated,2,2
140,uc003dnc.3,Untranslated,1,0
141,uc010jfb.3,Translated,1,1
142,uc003ysa.2,Untranslated,7,0
143,uc021ouk.1,Translated,1,1
144,uc010osu.2,Translated,3,5
145,uc010vwh.2,Untranslated,2,2
146,uc010smg.1,Translated,2,0
147,uc002vbf.1,Translated,1,0
148,uc009yoj.1,Untranslated,1,1
149,uc011lqh.2,Translated,1,0
150,uc002xup.1,Untranslated,1,1
151,uc002eeu.4,Translated,2,0
152,uc021rdt.1,Translated,1,0
153,uc010nlq.1,Untranslated,1,0
154,uc009wbv.1,Untranslated,1,1
155,uc002xuj.3,Untranslated,3,3
156,uc003qdx.3,Translated,1,2
157,uc001pec.3,Untranslated,2,3
158,uc009wwi.1,Untranslated,1,1
159,uc011ecs.2,Translated,3,0
160,uc010ghz.3,Untranslated,1,1
161,uc002ryf.3,Translated,1,0
162,uc004cow.2,Untranslated,1,0
163,uc010bht.3,Untranslated,1,1
164,uc010cpe.2,Untranslated,2,2
165,uc001eik.3,Translated,1,1
166,uc001jom.1,Translated,1,1
167,uc009wwj.1,Untranslated,1,2
168,uc002gki.4,Translated,1,0
169,uc003vfq.2,Translated,1,0
170,uc021udv.1,Translated,1,1
171,uc001gjn.1,Untranslated,1,2
172,uc010pvz.1,Untranslated,1,0
173,uc003yvn.3,Translated,1,0
