,start_coord,end_coord,dataset,count,length
141,72033877,72033877,IonXpress_SFPQt1,2,0
142,75115909,75117957,IonXpress_SFPQt1,3,2048
143,75115909,75133345,IonXpress_SFPQt1,1,17436
144,75202482,75202482,IonXpress_NONO_c,1,0
145,75202482,75202482,IonXpress_SFPQt1,1,0
146,75210105,75213181,IonXpress_NONO_c,4,3076
147,75210105,75213181,IonXpress_SFPQt1,4,3076
148,75212646,75213181,IonXpress_NONO_c,2,535
149,75212646,75213181,IonXpress_SFPQt1,2,535
150,76260335,76260775,IonXpress_NONO_c,4,440
151,76260335,76260775,IonXpress_SFPQt1,2,440
152,76817478,76817536,IonXpress_NONO_c,1,58
153,76817478,76817536,IonXpress_SFPQt1,1,58
154,76817478,76823681,IonXpress_NONO_c,1,6203
155,76817478,76823681,IonXpress_SFPQt1,1,6203
156,77072081,77072185,IonXpress_NONO_c,2,104
157,77611732,77611760,IonXpress_NONO_c,3,28
158,77611732,77611760,IonXpress_SFPQt1,1,28
159,77629145,77629464,IonXpress_NONO_c,3,319
160,77629145,77629464,IonXpress_SFPQt1,1,319
161,77705689,77705717,IonXpress_NONO_c,3,28
162,77705689,77705717,IonXpress_SFPQt1,1,28
163,77737641,77793915,IonXpress_NONO_c,2,56274
164,77737641,77793915,IonXpress_SFPQt1,1,56274
165,80553716,80554067,IonXpress_SFPQt1,2,351
166,80559280,80562483,IonXpress_SFPQt1,2,3203
167,80559375,80562483,IonXpress_SFPQt1,2,3108
168,83803089,83822069,IonXpress_SFPQt1,1,18980
169,85309740,85338314,IonXpress_NONO_c,1,28574
170,85309740,85338314,IonXpress_SFPQt1,1,28574
171,85638719,85638883,IonXpress_SFPQt1,1,164
172,86364682,86369280,IonXpress_SFPQt1,2,4598
173,89628747,89633237,IonXpress_SFPQt1,1,4490
174,89629450,89633237,IonXpress_SFPQt1,4,3787
175,91845703,91870426,IonXpress_NONO_c,3,24723
176,91845703,91870426,IonXpress_SFPQt1,5,24723
177,91866626,91870426,IonXpress_NONO_c,3,3800
178,91866626,91870426,IonXpress_SFPQt1,5,3800
179,91866639,91866666,IonXpress_NONO_c,3,27
180,91866639,91866666,IonXpress_SFPQt1,5,27
181,91866639,91870426,IonXpress_NONO_c,3,3787
182,91866639,91870426,IonXpress_SFPQt1,5,3787
183,93518692,93519487,IonXpress_NONO_c,2,795
184,99057595,99057818,IonXpress_SFPQt1,2,223
185,108788803,108792970,IonXpress_NONO_c,1,4167
186,108811150,108811648,IonXpress_NONO_c,1,498
187,110784275,110788897,IonXpress_NONO_c,2,4622
188,110788110,110788897,IonXpress_NONO_c,1,787
189,111161503,111202347,IonXpress_NONO_c,1,40844
190,111161503,111202573,IonXpress_NONO_c,2,41070
191,120548117,120612317,IonXpress_NONO_c,1,64200
192,120548117,120612317,IonXpress_SFPQt1,1,64200
193,120572566,120594328,IonXpress_NONO_c,1,21762
194,120572566,120594328,IonXpress_SFPQt1,1,21762
195,120612020,120612317,IonXpress_NONO_c,2,297
196,120612020,120612317,IonXpress_SFPQt1,2,297
197,122363471,122407052,IonXpress_NONO_c,5,43581
198,122363471,122407052,IonXpress_SFPQt1,5,43581
199,122930592,122931094,IonXpress_SFPQt1,1,502
200,122932032,122932901,IonXpress_SFPQt1,4,869
201,129762744,129765490,IonXpress_SFPQt1,2,2746
202,129762783,129762904,IonXpress_SFPQt1,1,121
203,129763239,129765490,IonXpress_SFPQt1,1,2251
204,133137202,133138490,IonXpress_NONO_c,1,1288
