,Transcript,Translation_Status,IonXpress_SFPQ_N,IonXpress_NONO_N
724,uc002orc.1,Untranslated,1,1
725,uc022ahx.1,Untranslated,1,1
726,uc001fep.4,Translated,1,0
727,uc011cdn.2,Translated,1,0
728,uc002ybs.3,Translated,1,0
729,uc004eql.3,Translated,1,1
730,uc003csm.4,Translated,1,0
731,uc002crj.1,Translated,3,0
732,uc011mto.2,Translated,1,1
733,uc002uzb.3,Translated,5,3
734,uc001iil.4,Translated,1,0
735,uc021yjp.1,Untranslated,1,0
736,uc001tac.3,Translated,2,1
737,uc009voy.1,Translated,8,7
738,uc001pak.2,Translated,3,4
739,uc003dmn.3,Translated,1,0
740,uc002rmo.2,Translated,1,0
741,uc004eqn.3,Translated,1,0
742,uc001fer.3,Translated,1,0
743,uc003axn.1,Untranslated,2,1
744,uc010yza.2,Translated,1,1
745,uc010vct.2,Translated,1,0
746,uc003tln.3,Translated,1,0
747,uc001gjk.3,Untranslated,17,16
748,uc002hcl.2,Untranslated,1,0
749,uc003axh.3,Translated,4,3
750,uc002hcj.1,Untranslated,1,1
751,uc001ony.4,Translated,1,5
752,uc003rjz.2,Translated,2,1
753,uc010dhc.3,Translated,1,1
754,uc002hfe.3,Translated,1,0
755,uc011dmz.2,Translated,2,0
756,uc004eea.3,Translated,1,0
757,uc002sbj.3,Translated,1,3
758,uc002fbb.3,Translated,1,0
759,uc021ogs.1,Untranslated,1,0
760,uc021pcu.1,Untranslated,1,1
761,uc010yus.2,Translated,1,0
762,uc003dmr.3,Translated,1,0
763,uc011cty.2,Translated,1,0
764,uc003dmp.3,Translated,1,0
765,uc001rpa.3,Translated,1,1
766,uc003hiy.3,Untranslated,2,4
767,uc011awa.1,Untranslated,1,1
768,uc003bie.3,Translated,1,0
769,uc010hnt.3,Translated,3,0
770,uc010fng.3,Translated,1,1
771,uc001eil.3,Translated,1,3
772,uc001rzr.2,Translated,1,0
773,uc001mgr.1,Untranslated,1,1
774,uc004cox.4,Untranslated,5,5
775,uc002rpd.3,Translated,1,0
776,uc001rpb.3,Translated,1,1
777,uc001cge.3,Translated,2,2
778,uc022boz.1,Untranslated,1,0
779,uc002env.4,Translated,1,0
780,uc002gqf.1,Untranslated,2,2
781,uc010zgy.1,Translated,1,0
782,uc021trb.1,Untranslated,5,3
783,uc001nvu.3,Untranslated,11,8
784,uc011bpj.1,Translated,1,0
785,uc003eia.4,Translated,1,0
786,uc003upp.3,Translated,1,1
787,uc009wdk.3,Translated,1,0
788,uc009wwo.1,Untranslated,1,2
789,uc001rzt.3,Translated,1,0
790,uc001owl.1,Untranslated,2,2
791,uc021ttu.1,Translated,3,3
792,uc010fib.1,Untranslated,1,0
793,uc004fae.2,Translated,2,1
794,uc004edu.3,Translated,1,0
795,uc031sor.1,Translated,2,1
796,uc009yoj.1,Untranslated,2,2
797,uc004fkm.2,Translated,1,0
798,uc010xdg.2,Translated,6,4
799,uc010mlh.3,Translated,1,0
800,uc010mbk.2,Translated,1,0
801,uc002vub.3,Translated,1,0
802,uc011ctm.2,Untranslated,1,0
803,uc010pvz.1,Untranslated,2,2
804,uc021rjd.1,Untranslated,2,0
805,uc009ywg.1,Untranslated,2,2
806,uc021win.1,Translated,1,0
807,uc009ywe.3,Untranslated,7,6
808,uc003ztq.1,Translated,1,0
809,uc002paa.4,Translated,1,0
810,uc011mfi.2,Untranslated,10,5
811,uc002poc.3,Untranslated,2,0
812,uc009ygf.3,Translated,2,1
813,uc003pjw.3,Translated,1,0
814,uc011dgu.1,Translated,1,0
815,uc009wmh.3,Translated,1,0
816,uc011ldx.2,Translated,1,0
817,uc003dtn.3,Translated,1,0
818,uc003pld.4,Untranslated,4,4
819,uc021ucc.1,Untranslated,1,0
820,uc011kat.2,Translated,1,0
821,uc003lxo.2,Translated,1,0
822,uc010xla.2,Translated,1,0
823,uc002hnn.3,Translated,1,0
824,uc021tky.1,Translated,1,0
825,uc003xrz.3,Translated,1,0
826,uc001jid.1,Translated,1,1
827,uc003yuh.2,Translated,1,0
828,uc011cyr.2,Translated,1,0
829,uc001ner.1,Translated,1,0
830,uc003uqy.3,Translated,2,0
831,uc021xbq.1,Untranslated,1,0
832,uc003xyk.3,Translated,4,5
833,uc002mmz.2,Translated,1,0
834,uc002dmm.3,Translated,2,0
835,uc001oyn.3,Translated,1,0
836,uc010smg.1,Translated,3,2
837,uc010fcl.3,Translated,1,3
838,uc003cjq.3,Translated,1,0
839,uc003jtq.3,Untranslated,1,0
840,uc010ypn.2,Translated,1,3
841,uc001ssb.3,Translated,1,0
842,uc002esu.2,Translated,1,0
843,uc004can.4,Translated,2,1
844,uc001ged.3,Translated,1,1
845,uc001kin.3,Translated,1,0
846,uc003plb.4,Untranslated,4,4
847,uc003lmy.3,Translated,1,1
848,uc021tpz.1,Untranslated,2,1
849,uc010jgc.1,Translated,1,0
850,uc001lsd.1,Translated,1,0
851,uc002dvx.3,Translated,2,0
852,uc010wkw.1,Translated,2,0
853,uc003jsz.4,Translated,1,0
854,uc009zbd.2,Translated,4,1
855,uc021qwi.1,Translated,1,0
856,uc003jsx.4,Translated,1,0
857,uc002ldr.2,Untranslated,2,1
858,uc010haf.3,Translated,1,0
859,uc001rwp.2,Translated,1,0
860,uc001txq.3,Translated,1,0
861,uc001rwr.2,Translated,1,0
862,uc010tbl.2,Translated,1,0
863,uc001nes.1,Translated,1,0
864,uc001odz.3,Untranslated,10,22
865,uc001bhl.3,Translated,2,0
866,uc001xfh.2,Translated,1,0
867,uc002jto.3,Translated,1,1
868,uc001dya.3,Translated,1,0
869,uc003iha.3,Translated,1,1
870,uc001neq.2,Translated,1,0
871,uc001rwt.2,Translated,1,0
872,uc001lsh.1,Translated,1,0
873,uc001oyr.1,Translated,4,4
874,uc002ipb.3,Translated,1,0
875,uc002fno.2,Translated,1,1
876,uc001lsf.1,Translated,1,0
877,uc001new.2,Translated,1,0
878,uc031pqd.1,Translated,2,0
879,uc002nvf.3,Translated,1,2
880,uc031tde.1,Translated,1,0
881,uc004beg.3,Translated,1,0
882,uc003iby.3,Untranslated,2,0
883,uc001rei.3,Translated,1,0
884,uc001cfy.4,Translated,2,2
885,uc002gkh.4,Translated,3,2
886,uc021srj.1,Untranslated,1,0
887,uc002kfp.3,Untranslated,3,0
888,uc009wbt.2,Untranslated,6,6
889,uc002vee.4,Translated,2,1
890,uc001ayi.5,Translated,1,0
891,uc002hhl.1,Untranslated,1,0
892,uc010bon.3,Translated,2,0
893,uc002xuj.3,Untranslated,3,6
894,uc001ayk.5,Translated,1,0
895,uc021vyp.1,Translated,1,1
896,uc002ptf.3,Translated,2,1
897,uc002xul.4,Untranslated,3,6
898,uc001aym.5,Translated,1,0
899,uc021tgu.1,Translated,2,0
900,uc002xun.4,Untranslated,3,6
901,uc003hnq.3,Untranslated,2,0
902,uc011edf.2,Translated,1,0
903,uc004ely.3,Translated,1,0
904,uc001sde.4,Translated,1,0
905,uc003zkt.1,Translated,2,0
906,uc001ebc.3,Translated,1,0
907,uc003ntt.3,Translated,4,0
908,uc021yep.1,Translated,1,0
909,uc010jfb.3,Translated,3,2
910,uc002klp.3,Translated,1,0
911,uc001syx.3,Translated,1,0
912,uc002vbf.1,Translated,2,1
913,uc003jto.4,Translated,1,0
914,uc031tcz.1,Translated,1,0
915,uc009wbv.1,Untranslated,2,2
916,uc002vbh.1,Translated,2,1
917,uc001gjn.1,Untranslated,2,1
918,uc003pai.3,Translated,1,0
919,uc001gjl.2,Untranslated,3,2
920,uc004edq.3,Translated,1,0
921,uc002xzw.3,Translated,1,0
922,uc010jsq.1,Untranslated,2,0
923,uc021xra.1,Untranslated,2,0
924,uc010vjj.1,Translated,1,0
925,uc004eds.3,Translated,1,0
926,uc010vik.3,Translated,1,0
927,uc001sdc.4,Translated,1,0
928,uc003rjy.2,Translated,2,1
929,uc009yig.3,Translated,1,1
930,uc021pip.1,Translated,1,2
931,uc021vyl.1,Translated,1,0
932,uc010ghy.4,Translated,1,0
933,uc001reh.2,Translated,3,71
934,uc001dgz.2,Untranslated,1,2
935,uc011ecs.2,Translated,4,5
936,uc004ebk.4,Translated,1,0
937,uc011ecq.2,Translated,4,5
938,uc010lzb.3,Translated,4,5
939,uc003jmf.1,Untranslated,2,1
940,uc021udw.1,Translated,1,1
941,uc001hhz.4,Translated,1,2
942,uc003ldv.1,Untranslated,3,2
943,uc010skb.2,Untranslated,1,0
944,uc011bzf.2,Translated,1,0
945,uc010ssq.2,Translated,1,0
946,uc002dwc.3,Translated,2,0
947,uc001bsk.1,Translated,1,1
948,uc021trc.1,Untranslated,5,3
949,uc002elm.1,Translated,1,1
950,uc003ldr.3,Untranslated,3,2
951,uc002dwa.4,Translated,2,0
952,uc002pth.1,Untranslated,1,0
953,uc010ohj.2,Translated,1,0
954,uc021xpq.1,Untranslated,2,0
955,uc004dbj.3,Translated,1,0
956,uc003ghh.4,Translated,1,0
957,uc010dgy.1,Untranslated,1,2
958,uc004fkr.1,Translated,1,0
959,uc011jwx.2,Translated,1,0
960,uc003tml.4,Untranslated,1,0
961,uc009yoi.2,Translated,4,1
962,uc002faz.3,Translated,1,0
963,uc011edh.2,Translated,1,0
964,uc001nug.1,Translated,1,1
965,uc011bzh.1,Translated,1,0
966,uc003lne.3,Translated,1,1
967,uc010bhs.1,Untranslated,1,1
968,uc003kdk.2,Translated,1,1
969,uc003xsn.2,Translated,1,1
970,uc021wfp.1,Translated,1,0
971,uc003dfd.3,Translated,5,1
972,uc001rjb.3,Translated,1,0
973,uc021ykc.1,Untranslated,1,0
974,uc003ebs.3,Translated,1,0
975,uc009wsd.3,Translated,1,0
976,uc021tmt.1,Translated,1,1
977,uc003fnp.3,Translated,2,0
978,uc002bul.3,Translated,2,0
979,uc010nwc.2,Untranslated,1,0
980,uc009wsf.3,Translated,1,0
981,uc021yrk.1,Untranslated,2,0
982,uc003ics.4,Translated,1,0
983,uc001sls.1,Untranslated,1,0
984,uc001doz.3,Translated,2,2
985,uc021qjp.1,Untranslated,1,1
986,uc003dtm.3,Translated,1,0
987,uc001mjb.3,Translated,2,1
988,uc010pst.2,Translated,1,2
989,uc021szx.1,Untranslated,1,1
990,uc003dto.3,Translated,1,0
991,uc010rdc.1,Translated,1,0
992,uc002ezf.3,Translated,1,0
993,uc004buu.3,Translated,1,0
994,uc003fnt.3,Translated,2,0
995,uc003fnv.4,Translated,2,0
996,uc022bbf.1,Untranslated,1,0
997,uc022bqt.1,Untranslated,33,28
998,uc031pob.1,Translated,2,3
999,uc001eik.3,Translated,1,3
1000,uc003mbm.1,Translated,1,0
1001,uc003dlp.3,Translated,3,0
1002,uc002gua.4,Untranslated,1,0
1003,uc010dve.1,Untranslated,1,0
1004,uc003tlp.3,Translated,1,0
1005,uc010oga.1,Translated,1,1
1006,uc010dwz.1,Untranslated,1,0
1007,uc021pce.1,Untranslated,1,0
1008,uc010khq.1,Translated,3,3
1009,uc011bke.2,Translated,1,0
1010,uc002pny.4,Translated,9,5
1011,uc021ymu.1,Untranslated,1,1
1012,uc002vpr.4,Translated,2,2
1013,uc003ehy.3,Translated,1,0
1014,uc010liz.3,Translated,2,0
1015,uc021ysb.1,Untranslated,1,1
1016,uc021rgf.1,Untranslated,3,1
1017,uc004bpn.3,Translated,1,0
1018,uc011cno.1,Translated,1,0
1019,uc003llc.4,Translated,1,0
1020,uc010emy.1,Untranslated,1,1
1021,uc009ysh.3,Translated,1,5
1022,uc021ymy.1,Untranslated,1,0
1023,uc010diu.3,Translated,3,0
1024,uc002vpj.3,Untranslated,1,0
1025,uc010scg.2,Translated,1,0
1026,uc003fnx.3,Translated,2,0
1027,uc003kck.4,Translated,1,0
1028,uc002vue.1,Untranslated,1,0
1029,uc003fnz.3,Untranslated,1,0
1030,uc010rdm.2,Translated,1,0
1031,uc003kci.4,Translated,1,0
1032,uc010zlv.1,Translated,1,0
1033,uc021yfb.1,Translated,1,1
1034,uc009vwd.3,Translated,2,2
1035,uc002czm.3,Translated,1,1
1036,uc001dpc.3,Translated,2,2
1037,uc011egl.1,Translated,5,25
1038,uc001dpa.3,Untranslated,2,2
1039,uc011cuk.2,Translated,1,0
1040,uc003oxc.2,Translated,2,0
1041,uc002wbn.4,Translated,1,0
1042,uc022alw.1,Translated,1,0
1043,uc003ooa.4,Translated,1,0
1044,uc031pzj.1,Translated,1,0
1045,uc003oxa.2,Translated,2,1
1046,uc001ktc.4,Translated,2,3
1047,uc003xyl.3,Translated,4,5
1048,uc031skg.1,Untranslated,1,1
1049,uc003ehs.4,Translated,1,0
1050,uc001ndk.3,Untranslated,1,0
1051,uc021vvh.1,Untranslated,1,0
1052,uc010iwv.3,Translated,1,0
1053,uc003lhd.2,Translated,2,0
1054,uc001nwa.4,Untranslated,1,0
1055,uc001vbh.4,Translated,1,1
1056,uc002ilt.2,Translated,2,0
1057,uc004bqy.2,Translated,1,0
1058,uc002rdh.3,Translated,1,0
1059,uc021pck.1,Untranslated,1,1
1060,uc021xac.1,Translated,1,0
1061,uc001rap.1,Translated,1,0
1062,uc011dno.1,Translated,4,0
1063,uc003qdy.1,Translated,5,5
1064,uc001evy.3,Translated,1,0
1065,uc021pco.1,Untranslated,1,0
1066,uc021udj.1,Untranslated,4,4
1067,uc002xzt.3,Translated,1,0
1068,uc011deh.1,Translated,1,0
1069,uc001ndi.2,Translated,2,0
1070,uc003kcg.4,Translated,1,0
1071,uc010qov.2,Translated,1,0
1072,uc011dmx.2,Translated,2,0
1073,uc011dna.2,Translated,2,0
1074,uc010kbs.1,Untranslated,2,2
1075,uc011mwf.1,Translated,2,1
1076,uc009wcv.3,Translated,1,0
1077,uc010zpy.2,Untranslated,6,3
1078,uc003uqw.3,Translated,2,0
1079,uc010zpu.2,Translated,1,0
1080,uc002hja.3,Translated,1,1
1081,uc002yjk.3,Untranslated,2,3
1082,uc003ldu.3,Translated,3,2
1083,uc002hjc.3,Translated,1,1
1084,uc010rqc.2,Translated,1,5
1085,uc004ery.1,Untranslated,1,0
1086,uc009ylg.1,Translated,2,0
1087,uc003zae.1,Translated,1,0
1088,uc002wbp.4,Translated,1,0
1089,uc010yyz.2,Translated,1,1
1090,uc010jzn.1,Translated,1,0
1091,uc009zip.3,Translated,1,0
1092,uc010oth.2,Translated,1,0
1093,uc001xbs.3,Translated,1,0
1094,uc003zag.1,Translated,1,0
1095,uc011mpg.2,Translated,1,0
1096,uc031qfw.1,Translated,4,1
1097,uc003tgu.3,Translated,1,0
1098,uc004ces.3,Translated,1,0
1099,uc001hqa.3,Translated,1,0
1100,uc010jww.3,Untranslated,1,0
1101,uc010idh.3,Translated,2,0
1102,uc010yyt.2,Untranslated,1,0
1103,uc010vhm.1,Translated,1,1
1104,uc021phv.1,Untranslated,1,0
1105,uc021ujv.1,Translated,6,4
1106,uc003dpf.3,Translated,1,0
1107,uc010dde.1,Translated,1,0
1108,uc011lod.1,Translated,1,0
1109,uc001cyj.2,Translated,1,0
1110,uc010fur.3,Translated,2,1
1111,uc003yif.3,Translated,1,0
1112,uc004cap.4,Translated,2,1
1113,uc003dfe.3,Translated,5,1
1114,uc010cuz.3,Translated,1,0
1115,uc002cov.1,Untranslated,1,1
1116,uc003hql.1,Translated,1,0
1117,uc010hwn.2,Translated,1,0
1118,uc001pho.2,Translated,1,0
1119,uc001qgl.3,Translated,1,0
1120,uc001slr.3,Translated,1,0
1121,uc001sdf.4,Translated,1,0
1122,uc004cci.4,Translated,1,0
1123,uc010bxs.3,Translated,1,0
1124,uc003qed.4,Translated,4,5
1125,uc001api.2,Translated,1,0
1126,uc011cdb.1,Translated,1,0
1127,uc001aoi.3,Translated,1,2
1128,uc001xix.3,Translated,1,1
1129,uc009vmm.3,Untranslated,1,0
1130,uc011dhk.1,Translated,3,0
1131,uc002gql.1,Translated,2,0
1132,uc003hqn.1,Translated,1,0
1133,uc002lze.3,Translated,3,11
1134,uc002ipg.3,Translated,1,0
1135,uc002gqb.4,Untranslated,5,3
1136,uc002tuj.3,Translated,1,1
1137,uc001jol.1,Untranslated,1,1
1138,uc022bqs.1,Untranslated,41,33
1139,uc003axj.3,Translated,4,3
1140,uc001jon.1,Translated,1,1
1141,uc021xqk.1,Translated,1,0
1142,uc031poc.1,Translated,6,3
1143,uc003zjz.3,Untranslated,1,0
1144,uc004bei.2,Translated,1,0
1145,uc021qep.1,Translated,1,0
1146,uc003bxf.4,Translated,1,1
1147,uc010cfv.2,Untranslated,1,0
1148,uc003poe.3,Translated,1,0
1149,uc002cnp.1,Untranslated,1,1
1150,uc010xrv.2,Translated,1,2
1151,uc021rkk.1,Translated,1,0
1152,uc010qja.1,Translated,1,1
1153,uc002hcn.1,Untranslated,1,1
1154,uc003vre.3,Translated,1,0
1155,uc011dvs.2,Translated,2,1
1156,uc002ipf.3,Translated,1,0
1157,uc010cgg.3,Translated,1,0
1158,uc021out.1,Untranslated,2,0
1159,uc009wwk.1,Untranslated,2,2
1160,uc004eft.4,Translated,1,0
1161,uc001tfr.3,Translated,1,0
1162,uc002cys.2,Translated,1,0
1163,uc011czw.1,Untranslated,2,0
1164,uc021yjw.1,Untranslated,2,2
1165,uc010hjt.2,Translated,1,0
1166,uc003jgk.2,Translated,1,0
1167,uc003qmg.3,Translated,1,0
1168,uc011czy.2,Translated,2,0
1169,uc002wqc.3,Translated,3,1
1170,uc004car.3,Untranslated,1,0
1171,uc001rpd.3,Translated,1,1
1172,uc001onw.3,Translated,1,5
1173,uc011dbr.1,Translated,1,0
1174,uc010vwm.1,Untranslated,5,3
1175,uc021pct.1,Untranslated,1,0
1176,uc001onu.3,Translated,1,5
1177,uc002ozy.4,Translated,1,0
1178,uc010jiq.2,Translated,1,0
1179,uc001zrr.4,Translated,1,0
1180,uc009wwi.1,Untranslated,1,1
1181,uc003nsc.2,Translated,2,0
1182,uc001ynf.2,Translated,1,0
1183,uc002wgh.3,Translated,6,3
1184,uc009wot.3,Translated,1,0
1185,uc021oek.1,Untranslated,1,0
1186,uc002wgj.3,Untranslated,2,1
1187,uc010plg.2,Untranslated,1,1
1188,uc010ocb.2,Translated,1,0
1189,uc003nvc.4,Translated,1,0
1190,uc010acm.3,Translated,1,1
1191,uc003mxn.3,Translated,1,0
1192,uc010mlj.3,Translated,1,0
1193,uc021pmg.1,Untranslated,1,2
1194,uc021pcp.1,Untranslated,1,1
1195,uc010aco.1,Translated,1,1
1196,uc001tfn.3,Translated,1,0
1197,uc009zsb.1,Translated,1,0
1198,uc003kjc.3,Translated,1,0
1199,uc003fns.3,Translated,2,0
1200,uc002njj.1,Translated,1,0
1201,uc001vbe.4,Translated,1,1
1202,uc001ykw.1,Translated,1,0
1203,uc011mhg.2,Translated,1,0
1204,uc001ufi.3,Translated,1,0
1205,uc001yku.4,Translated,2,0
1206,uc001ibl.3,Translated,1,1
1207,uc001ufk.3,Translated,1,0
1208,uc011bnm.1,Translated,1,0
1209,uc003ehr.4,Translated,1,0
1210,uc031tgb.1,Untranslated,23,20
1211,uc002rtr.2,Translated,1,0
1212,uc003lhb.2,Translated,2,0
1213,uc011dgs.2,Translated,1,0
1214,uc002ful.1,Untranslated,1,0
1215,uc002hnp.1,Untranslated,1,0
1216,uc010cpg.1,Untranslated,2,1
1217,uc002vty.3,Translated,1,0
1218,uc021pcj.1,Untranslated,1,1
1219,uc002jsb.2,Untranslated,4,4
1220,uc011kby.2,Translated,1,0
1221,uc021pbc.1,Translated,2,0
1222,uc021tpr.1,Untranslated,2,0
1223,uc002kfn.3,Translated,3,0
1224,uc002jsd.2,Untranslated,4,4
1225,uc021pba.1,Translated,2,0
1226,uc011dey.1,Translated,1,0
1227,uc011ljh.1,Translated,1,0
1228,uc011bbg.2,Translated,1,0
1229,uc003lcw.3,Translated,1,0
1230,uc004fqf.1,Untranslated,1,0
1231,uc001vbi.4,Translated,1,1
1232,uc010kgu.3,Translated,1,0
1233,uc010zov.3,Translated,1,0
1234,uc003qup.1,Untranslated,7,27
1235,uc010smi.1,Translated,7,4
1236,uc022bdl.1,Untranslated,2,0
1237,uc010zot.3,Translated,1,0
1238,uc010kgs.3,Translated,1,0
1239,uc001oyt.3,Untranslated,3,4
1240,uc004cde.1,Translated,3,2
1241,uc022ajr.1,Translated,2,0
1242,uc002dvz.3,Translated,2,0
1243,uc010mdp.2,Untranslated,3,4
1244,uc002vps.4,Translated,2,2
1245,uc001ssf.3,Translated,1,0
1246,uc003zjy.3,Translated,1,0
1247,uc003hnm.3,Translated,2,0
1248,uc003evs.1,Translated,1,0
1249,uc001emn.4,Translated,2,3
1250,uc003ckv.4,Translated,1,0
1251,uc003fqs.3,Translated,5,4
1252,uc021rsp.1,Untranslated,2,1
1253,uc001gog.3,Translated,1,1
1254,uc003fqu.3,Translated,5,4
1255,uc010cpf.3,Untranslated,1,0
1256,uc001oyp.3,Translated,4,4
1257,uc001owg.4,Translated,1,1
1258,uc003izf.3,Translated,2,0
1259,uc001neu.1,Translated,1,0
1260,uc010wlx.1,Untranslated,1,0
1261,uc003fqw.3,Translated,5,4
1262,uc010cpd.3,Untranslated,5,3
1263,uc011kba.2,Translated,1,0
1264,uc010nmj.2,Translated,1,0
1265,uc011log.1,Translated,1,0
1266,uc002fng.1,Translated,1,1
1267,uc031tda.1,Translated,1,0
1268,uc010hyv.2,Untranslated,2,2
1269,uc010bsu.1,Translated,3,0
1270,uc011blq.2,Translated,1,0
1271,uc001bvr.3,Translated,1,0
1272,uc001bqo.3,Untranslated,2,3
1273,uc010lmi.3,Untranslated,1,0
1274,uc002fnc.2,Translated,1,1
1275,uc001bqm.3,Untranslated,2,3
1276,uc003mcn.1,Translated,1,0
1277,uc002sis.4,Translated,1,0
1278,uc010xjk.2,Translated,1,0
1279,uc010sbw.1,Translated,1,0
1280,uc001bqa.2,Translated,6,3
1281,uc003ntx.2,Translated,4,0
1282,uc002crk.3,Translated,3,0
1283,uc001apb.3,Translated,1,0
1284,uc002xup.1,Untranslated,1,2
1285,uc003kkn.3,Translated,1,0
1286,uc001iim.4,Translated,1,0
1287,uc001olv.3,Translated,1,0
1288,uc002uzc.3,Untranslated,1,1
1289,uc003ntv.3,Translated,4,0
1290,uc002hff.3,Translated,1,0
1291,uc010osq.2,Translated,1,0
1292,uc021wgu.1,Untranslated,1,0
1293,uc010uxz.1,Translated,1,0
1294,uc001apj.2,Translated,2,0
1295,uc011mzn.1,Translated,5,3
1296,uc001chg.3,Translated,1,0
1297,uc003lzb.3,Translated,1,0
1298,uc002siu.4,Translated,1,0
1299,uc002eap.3,Translated,2,0
1300,uc001sxs.3,Translated,1,0
1301,uc001bqc.2,Translated,6,3
1302,uc003bif.3,Translated,1,0
1303,uc003tlo.1,Translated,1,0
1304,uc010hod.3,Translated,1,0
1305,uc001vxa.1,Untranslated,3,0
1306,uc010cpj.1,Untranslated,2,0
1307,uc001gjj.3,Untranslated,17,16
1308,uc010osv.1,Translated,6,5
1309,uc010yzd.1,Untranslated,1,1
1310,uc003sot.4,Translated,3,1
1311,uc003qec.4,Translated,4,5
1312,uc001aif.3,Translated,1,0
1313,uc003ony.4,Translated,1,0
1314,uc002hci.3,Translated,3,3
1315,uc002hfd.3,Translated,1,0
1316,uc010osr.2,Translated,1,0
1317,uc003sor.4,Translated,3,1
1318,uc010ohl.1,Translated,1,0
1319,uc021wgw.1,Untranslated,1,0
1320,uc003hiz.1,Translated,2,4
1321,uc002tnc.3,Translated,1,1
1322,uc011cse.2,Translated,1,0
1323,uc010drg.3,Translated,3,3
1324,uc003hix.3,Translated,2,4
1325,uc021yba.1,Untranslated,1,0
1326,uc003ibz.1,Untranslated,2,0
1327,uc003udy.3,Translated,1,0
1328,uc002sqw.2,Translated,1,1
1329,uc001mgs.4,Translated,1,1
1330,uc009yoa.1,Untranslated,1,1
1331,uc010tss.2,Translated,1,1
1332,uc001rzs.3,Translated,1,0
1333,uc001chs.3,Translated,1,0
1334,uc001zrq.4,Translated,1,0
1335,uc001rpc.3,Translated,1,1
1336,uc002sbe.3,Translated,1,0
1337,uc011mtp.2,Translated,1,1
1338,uc001xhh.4,Translated,2,0
1339,uc002enw.4,Untranslated,1,0
1340,uc021pcf.1,Untranslated,1,1
1341,uc021tpo.1,Untranslated,2,1
1342,uc010zgx.2,Translated,1,0
1343,uc021uni.1,Untranslated,1,1
1344,uc010zrt.1,Translated,3,1
1345,uc001bsi.1,Translated,1,1
1346,uc003jfw.2,Untranslated,1,0
1347,uc002uuk.3,Translated,1,0
1348,uc001eim.4,Translated,1,3
1349,uc009wdj.3,Translated,1,0
1350,uc001apc.3,Translated,1,0
1351,uc021xpo.1,Untranslated,2,0
1352,uc004cqp.3,Translated,1,0
1353,uc009yok.1,Untranslated,2,1
1354,uc001pdv.3,Untranslated,2,0
1355,uc001pyp.3,Translated,6,3
1356,uc003ngk.4,Translated,1,0
1357,uc002vua.3,Translated,1,0
1358,uc009xcy.3,Translated,1,2
1359,uc001pdz.3,Untranslated,12,10
1360,uc010pvy.1,Translated,3,2
1361,uc001nvt.3,Untranslated,11,8
1362,uc021rje.1,Untranslated,2,0
1363,uc011bpk.1,Translated,1,0
1364,uc002cnn.2,Translated,1,1
1365,uc001nvr.3,Untranslated,11,8
1366,uc010wth.2,Translated,1,1
1367,uc009yge.3,Untranslated,1,1
1368,uc031tbd.1,Translated,1,0
1369,uc001cml.3,Untranslated,1,1
1370,uc003jtp.3,Translated,1,0
1371,uc031tga.1,Untranslated,6,1
1372,uc002wqd.3,Translated,3,1
1373,uc003ple.2,Untranslated,2,2
1374,uc010fxw.1,Untranslated,2,2
1375,uc021ytw.1,Untranslated,1,0
1376,uc001knh.3,Translated,1,0
1377,uc004cos.5,Untranslated,30,30
1378,uc001nvz.2,Untranslated,2,1
1379,uc021ouk.1,Translated,2,3
1380,uc003dtk.2,Untranslated,1,0
1381,uc010trz.2,Translated,1,0
1382,uc004coq.4,Untranslated,3,3
1383,uc010psr.2,Translated,1,2
1384,uc001zgz.2,Translated,1,0
1385,uc001ufj.1,Translated,1,0
1386,uc002rmp.1,Untranslated,1,0
1387,uc004cow.2,Untranslated,1,2
1388,uc001oyo.1,Translated,1,0
1389,uc010hsa.3,Translated,1,0
1390,uc001gee.3,Translated,1,1
1391,uc001kio.3,Translated,1,0
1392,uc002est.2,Translated,1,0
1393,uc010sij.2,Translated,1,0
1394,uc003yug.2,Translated,1,0
1395,uc001gec.3,Translated,1,1
1396,uc001feq.3,Translated,1,0
1397,uc002wqf.1,Untranslated,3,1
1398,uc021usc.1,Untranslated,1,0
1399,uc004fkn.1,Translated,1,0
1400,uc003quq.5,Translated,5,25
1401,uc010bzb.2,Untranslated,2,0
1402,uc003fnq.3,Translated,2,0
1403,uc003uqx.3,Translated,2,0
1404,uc011auu.2,Translated,1,1
1405,uc009zmb.2,Translated,1,0
1406,uc009zbc.3,Translated,6,3
1407,uc003dmm.3,Translated,1,0
1408,uc003cjp.3,Translated,1,0
1409,uc004bqz.2,Translated,1,0
1410,uc010hxx.3,Translated,2,0
1411,uc003kca.4,Translated,1,0
1412,uc001dpu.3,Translated,1,0
1413,uc022aol.1,Untranslated,1,0
1414,uc001xfi.3,Untranslated,1,0
1415,uc003uqv.3,Translated,2,0
1416,uc010hpf.3,Translated,1,0
1417,uc001xfk.3,Untranslated,1,0
1418,uc002fnn.2,Translated,1,1
1419,uc001oys.3,Translated,3,4
1420,uc021vum.1,Translated,2,0
1421,uc001oyq.3,Translated,1,0
1422,uc001nev.1,Translated,1,0
1423,uc011dya.2,Untranslated,1,1
1424,uc001mok.3,Translated,1,0
1425,uc031tdd.1,Translated,1,0
1426,uc011bsb.2,Translated,3,2
1427,uc001cfz.3,Translated,2,2
1428,uc002fum.4,Translated,1,0
1429,uc001cfx.4,Translated,2,2
1430,uc001tuw.3,Translated,2,0
