,Transcript,Translation_Status,MiSeqSFPQc.csv,MiSeqNONOc.csv
67,uc010yqw.1,Translated,1,0
68,uc010fcl.3,Translated,2,1
69,uc003ysb.3,Untranslated,1,1
70,uc011lkk.2,Translated,1,1
71,uc010ypn.2,Translated,2,1
72,uc003ezo.3,Translated,1,0
73,uc011aaq.2,Translated,1,1
74,uc011lki.2,Translated,1,1
75,uc003csb.2,Translated,1,0
76,uc003pdl.4,Translated,1,1
77,uc003ysl.3,Untranslated,4,3
78,uc010xrv.2,Translated,3,7
79,uc003pdn.2,Translated,1,1
80,uc003jhh.2,Translated,1,0
81,uc010rqd.2,Translated,1,0
82,uc031tdo.1,Translated,1,0
83,uc011clz.1,Untranslated,1,0
84,uc010ndr.3,Translated,1,0
85,uc011cnn.1,Untranslated,3,0
86,uc002isq.3,Translated,1,1
87,uc001kmp.3,Translated,1,0
88,uc003qup.1,Untranslated,21,28
89,uc002ikn.1,Translated,1,0
90,uc011bbc.1,Untranslated,1,0
91,uc003wza.3,Translated,1,0
92,uc003ezp.3,Translated,1,0
93,uc003ihi.2,Untranslated,1,0
94,uc003kol.3,Translated,1,0
95,uc001hvy.1,Translated,1,0
96,uc010mlt.3,Translated,3,4
97,uc001hgm.3,Translated,1,0
98,uc010rog.2,Untranslated,154,128
99,uc010mdp.2,Untranslated,1,3
100,uc001odz.3,Untranslated,5,0
101,uc001hgi.3,Translated,1,0
102,uc003nda.2,Translated,1,0
103,uc001mty.3,Translated,2,0
104,uc002aeb.3,Translated,1,0
105,uc009vqk.3,Translated,2,0
106,uc002hnm.3,Translated,1,0
107,uc002nvf.3,Translated,3,7
108,uc003zxh.2,Untranslated,1,0
109,uc001aje.2,Translated,1,1
110,uc003jbf.3,Translated,1,0
111,uc002iss.3,Translated,1,1
112,uc011bmf.2,Translated,1,0
113,uc004cov.5,Untranslated,1,3
114,uc021vew.1,Untranslated,1,0
115,uc010wmw.2,Translated,1,1
116,uc004cer.3,Translated,1,0
117,uc002sia.3,Translated,1,0
118,uc011log.1,Translated,1,0
119,uc003csf.3,Translated,1,0
120,uc002fng.1,Translated,4,1
121,uc031rcw.1,Translated,1,0
122,uc002xuj.3,Untranslated,1,2
123,uc022bah.1,Untranslated,1,0
124,uc002fne.4,Translated,4,1
125,uc031rco.1,Translated,1,0
126,uc002fnc.2,Translated,4,1
127,uc004cob.1,Translated,1,0
128,uc011kug.2,Translated,1,1
129,uc031rcm.1,Translated,1,0
130,uc021ygh.2,Translated,2,1
131,uc001ebk.3,Translated,2,1
132,uc001zeu.3,Untranslated,1,1
133,uc003fiy.2,Translated,2,3
134,uc003yyt.3,Translated,1,1
135,uc003wwu.3,Translated,3,1
136,uc011loc.1,Translated,1,0
137,uc002shx.3,Translated,1,0
138,uc003ztr.2,Translated,1,0
139,uc003yyr.3,Translated,1,1
140,uc011kui.2,Translated,1,1
141,uc003ufs.2,Untranslated,1,1
142,uc031rcs.1,Translated,1,0
143,uc021qmb.1,Translated,2,2
144,uc003wfc.2,Translated,1,1
145,uc021pwo.1,Untranslated,1,0
146,uc002kkf.1,Translated,1,0
147,uc031rcq.1,Translated,1,0
148,uc002fmx.2,Translated,4,1
149,uc010jie.1,Translated,2,1
150,uc003ezm.3,Translated,1,0
151,uc004euc.3,Translated,1,0
152,uc002shz.3,Translated,1,0
153,uc001set.3,Untranslated,1,0
154,uc004eua.3,Translated,1,0
155,uc010wyr.1,Translated,1,0
156,uc010ymp.2,Translated,1,0
157,uc031rck.1,Translated,1,0
158,uc001bgp.4,Translated,2,0
159,uc002hdx.4,Translated,1,1
160,uc031rci.1,Translated,1,0
161,uc003fiw.4,Translated,2,3
162,uc001ebi.3,Translated,2,1
163,uc004etz.4,Translated,1,0
164,uc001bgr.4,Translated,2,0
165,uc003csg.3,Translated,1,0
166,uc010bfs.3,Translated,1,0
167,uc003yyv.3,Translated,1,1
168,uc003qee.4,Translated,2,0
169,uc009vyw.1,Untranslated,1,0
170,uc001vxa.1,Untranslated,1,0
171,uc001pyx.2,Translated,1,0
172,uc002nat.3,Translated,1,1
173,uc010osv.1,Translated,4,1
174,uc011ecs.2,Translated,2,0
175,uc011bmh.2,Translated,1,0
176,uc001xlt.2,Translated,2,1
177,uc011byq.2,Translated,1,0
178,uc003qec.4,Translated,2,0
179,uc011ecq.2,Translated,2,0
180,uc010lzb.3,Translated,2,1
181,uc001aif.3,Translated,2,2
182,uc001onx.3,Translated,1,0
183,uc004eue.3,Translated,1,0
184,uc011mpt.1,Untranslated,2,0
185,uc003crq.2,Translated,1,0
186,uc010jbr.1,Translated,1,0
187,uc001suu.4,Translated,1,0
188,uc010nlq.1,Untranslated,2,2
189,uc001iyu.4,Translated,1,0
190,uc021shu.1,Untranslated,2,1
191,uc003dhz.3,Translated,1,0
192,uc021xrw.1,Translated,1,0
193,uc001chs.3,Translated,1,0
194,uc010lam.1,Translated,1,1
195,uc010snu.2,Translated,1,0
196,uc003pek.3,Translated,1,0
197,uc002ttj.3,Untranslated,1,2
198,uc003ezi.3,Translated,1,0
199,uc002sbk.3,Translated,2,1
200,uc002fgp.3,Translated,1,0
201,uc031rcu.1,Translated,1,0
202,uc002xvu.1,Translated,1,2
203,uc003yks.2,Translated,1,0
204,uc001oiw.2,Translated,1,2
205,uc011cmn.2,Translated,3,5
206,uc003oli.3,Translated,1,1
207,uc003jkl.4,Translated,2,0
208,uc003gut.4,Translated,1,0
209,uc003tlw.3,Translated,1,0
